plant,part,parasite,group,concentration_mgml,time_min,motile,motility_raw,data_flag
M. oleifera,seeds,T. evansi,10mg/ml,10,45,0,-,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,60,0,-,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,75,0,-,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,90,0,-,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,105,0,-,NA
M. oleifera,seeds,T. evansi,10mg/ml,10,120,0,-,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,0,1,+,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,15,1,+,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,30,0,-,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,45,0,-,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,60,0,-,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,75,0,-,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,90,0,-,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,105,0,-,NA
M. oleifera,seeds,T. evansi,0.5mg/ml,0.5,120,0,-,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,0,1,+,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,15,1,+,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,30,1,+,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,45,1,+,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,60,1,+,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,75,0,-,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,90,0,-,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,105,0,-,NA
M. oleifera,seeds,T. evansi,0.01mg/ml,0.01,120,0,-,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,0,1,+,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,15,1,+,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,30,1,+,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,45,1,+,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,60,1,+,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,75,1,+,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,90,1,+,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,105,0,-,NA
M. oleifera,seeds,T. evansi,0.005mg/ml,0.005,120,0,-,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,0,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,15,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,30,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,45,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,60,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,75,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,90,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,105,1,+,NA
M. oleifera,seeds,T. evansi,Negative Control,NA,120,1,+,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,0,1,+,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,15,0,-,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,30,0,-,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,45,0,-,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,60,0,-,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,75,0,-,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,90,0,-,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,105,0,-,NA
M. oleifera,seeds,T. evansi,Positive Control,NA,120,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,0,1,+,NA
M. oleifera,roots,T. evansi,100mg/ml,100,15,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,30,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,45,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,60,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,75,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,90,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,105,0,-,NA
M. oleifera,roots,T. evansi,100mg/ml,100,120,0,-,NA
M. oleifera,roots,T. evansi,10mg/ml,10,0,1,+,NA
M. oleifera,roots,T. evansi,10mg/ml,10,15,1,+,NA
M. oleifera,roots,T. evansi,10mg/ml,10,30,0,-,NA
M. oleifera,roots,T. evansi,10mg/ml,10,45,0,-,NA
M. oleifera,roots,T. evansi,10mg/ml,10,60,0,-,NA
M. oleifera,roots,T. evansi,10mg/ml,10,75,0,-,NA
M. oleifera,roots,T. evansi,10mg/ml,10,90,0,-,NA
M. oleifera,roots,T. evansi,10mg/ml,10,105,0,-,NA
M. oleifera,roots,T. evansi,10mg/ml,10,120,0,-,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,0,1,+,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,15,1,+,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,30,0,-,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,45,0,-,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,60,0,-,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,75,0,-,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,90,0,-,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,105,0,-,NA
M. oleifera,roots,T. evansi,0.5mg/ml,0.5,120,0,-,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,0,1,+,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,15,1,+,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,30,1,+,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,45,1,+,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,60,0,-,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,75,0,-,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,90,0,-,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,105,0,-,NA
M. oleifera,roots,T. evansi,0.01mg/ml,0.01,120,0,-,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,0,1,+,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,15,1,+,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,30,1,+,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,45,1,+,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,60,1,+,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,75,1,+,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,90,1,+,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,105,0,-,NA
M. oleifera,roots,T. evansi,0.005mg/ml,0.005,120,0,-,NA
M. oleifera,roots,T. evansi,Negative Control,NA,0,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,15,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,30,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,45,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,60,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,75,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,90,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,105,1,+,NA
M. oleifera,roots,T. evansi,Negative Control,NA,120,1,+,NA
M. oleifera,roots,T. evansi,Positive Control,NA,0,1,+,NA
M. oleifera,roots,T. evansi,Positive Control,NA,15,0,-,NA
M. oleifera,roots,T. evansi,Positive Control,NA,30,0,-,NA
M. oleifera,roots,T. evansi,Positive Control,NA,45,0,-,NA
M. oleifera,roots,T. evansi,Positive Control,NA,60,0,-,NA
M. oleifera,roots,T. evansi,Positive Control,NA,75,0,-,NA
M. oleifera,roots,T. evansi,Positive Control,NA,90,0,-,NA
M. oleifera,roots,T. evansi,Positive Control,NA,105,0,-,NA
M. oleifera,roots,T. evansi,Positive Control,NA,120,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,0,1,+,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,15,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,30,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,45,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,60,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,75,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,90,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,105,0,-,NA
M. oleifera,stem bark,T. evansi,100mg/ml,100,120,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,0,1,+,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,15,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,30,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,45,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,60,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,75,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,90,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,105,0,-,NA
M. oleifera,stem bark,T. evansi,10mg/ml,10,120,0,-,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,0,1,+,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,15,1,+,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,30,1,+,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,45,0,-,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,60,0,-,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,75,0,-,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,90,0,-,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,105,0,-,NA
M. oleifera,stem bark,T. evansi,0.5mg/ml,0.5,120,0,-,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,0,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,15,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,30,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,45,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,60,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,75,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,90,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,105,1,+,NA
M. oleifera,stem bark,T. evansi,0.01mg/ml,0.01,120,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,0,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,15,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,30,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,45,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,60,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,75,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,90,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,105,1,+,NA
M. oleifera,stem bark,T. evansi,0.005mg/ml,0.005,120,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,0,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,15,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,30,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,45,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,60,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,75,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,90,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,105,1,+,NA
M. oleifera,stem bark,T. evansi,Negative Control,NA,120,1,+,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,0,1,+,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,15,0,-,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,30,0,-,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,45,0,-,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,60,0,-,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,75,0,-,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,90,0,-,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,105,0,-,NA
M. oleifera,stem bark,T. evansi,Positive Control,NA,120,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,0,1,+,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,15,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,30,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,45,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,60,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,75,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,90,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,105,0,-,NA
M. oleifera,leaves,T. evansi,100mg/ml,100,120,0,-,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,0,1,+,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,15,1,+,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,30,0,-,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,45,0,-,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,60,0,-,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,75,0,-,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,90,0,-,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,105,0,-,NA
M. oleifera,leaves,T. evansi,10mg/ml,10,120,0,-,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,0,1,+,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,15,1,+,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,30,1,+,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,45,1,+,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,60,1,+,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,75,0,-,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,90,0,-,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,105,0,-,NA
M. oleifera,leaves,T. evansi,0.5mg/ml,0.5,120,0,-,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,0,1,+,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,15,1,+,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,30,1,+,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,45,1,+,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,60,1,+,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,75,1,+,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,90,0,-,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,105,0,-,NA
M. oleifera,leaves,T. evansi,0.01mg/ml,0.01,120,0,-,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,0,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,15,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,30,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,45,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,60,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,75,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,90,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,105,1,+,NA
M. oleifera,leaves,T. evansi,0.005mg/ml,0.005,120,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,0,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,15,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,30,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,45,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,60,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,75,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,90,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,105,1,+,NA
M. oleifera,leaves,T. evansi,Negative Control,NA,120,1,+,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,0,1,+,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,15,0,-,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,30,0,-,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,45,0,-,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,60,0,-,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,75,0,-,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,90,0,-,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,105,0,-,NA
M. oleifera,leaves,T. evansi,Positive Control,NA,120,0,-,NA
